p1_p2_dist,p1_p3_dist,p2_p3_dist,p1_acc,p2_acc,p3_acc,p1_target,p2_target,p3_target,p1_survive,p2_survive,p3_survive
0.6545981554890448,0.6382406709249661,0.023802736551375214,0.5689701206951674,0.55618463634745,0.21754687039312193,3,3,1,0.695,0.817,0.016
0.6545981554890448,0.6382406709249661,0.023802736551375214,0.5689701206951674,0.55618463634745,0.21754687039312193,3,3,2,0.837,0.561,0.083
0.12065966445019737,0.3280732601473656,0.31179270455830593,0.4118620910306471,0.4026177188642259,0.2542434850115868,2,1,1,0.237,0.395,0.793
0.12065966445019737,0.3280732601473656,0.31179270455830593,0.4118620910306471,0.4026177188642259,0.2542434850115868,2,1,2,0.4,0.221,0.787
0.12065966445019737,0.3280732601473656,0.31179270455830593,0.4118620910306471,0.4026177188642259,0.2542434850115868,2,3,1,0.577,0.321,0.411
0.12065966445019737,0.3280732601473656,0.31179270455830593,0.4118620910306471,0.4026177188642259,0.2542434850115868,2,3,2,0.806,0.148,0.39
0.12065966445019737,0.3280732601473656,0.31179270455830593,0.4118620910306471,0.4026177188642259,0.2542434850115868,3,1,1,0.164,0.807,0.377
0.12065966445019737,0.3280732601473656,0.31179270455830593,0.4118620910306471,0.4026177188642259,0.2542434850115868,3,1,2,0.295,0.57,0.435
0.12065966445019737,0.3280732601473656,0.31179270455830593,0.4118620910306471,0.4026177188642259,0.2542434850115868,3,3,1,0.452,0.73,0.111
0.12065966445019737,0.3280732601473656,0.31179270455830593,0.4118620910306471,0.4026177188642259,0.2542434850115868,3,3,2,0.719,0.447,0.119
0.551263664880172,0.36893747419951056,0.28773727211282135,0.31752310896597236,0.1930448175163747,0.08325915427946717,2,1,1,0.457,0.421,0.849
0.551263664880172,0.36893747419951056,0.28773727211282135,0.31752310896597236,0.1930448175163747,0.08325915427946717,2,1,2,0.645,0.236,0.853
0.551263664880172,0.36893747419951056,0.28773727211282135,0.31752310896597236,0.1930448175163747,0.08325915427946717,2,3,1,0.754,0.477,0.426
0.551263664880172,0.36893747419951056,0.28773727211282135,0.31752310896597236,0.1930448175163747,0.08325915427946717,2,3,2,0.935,0.327,0.436
0.551263664880172,0.36893747419951056,0.28773727211282135,0.31752310896597236,0.1930448175163747,0.08325915427946717,3,1,1,0.518,0.897,0.298
0.551263664880172,0.36893747419951056,0.28773727211282135,0.31752310896597236,0.1930448175163747,0.08325915427946717,3,1,2,0.676,0.712,0.307
0.551263664880172,0.36893747419951056,0.28773727211282135,0.31752310896597236,0.1930448175163747,0.08325915427946717,3,3,1,0.795,0.874,0.069
0.551263664880172,0.36893747419951056,0.28773727211282135,0.31752310896597236,0.1930448175163747,0.08325915427946717,3,3,2,0.913,0.725,0.095
0.3349956341802126,0.3869745910024018,0.21532076085873203,0.7822292056582244,0.09342801163838221,0.01224738968336958,2,1,1,0.868,0.06,0.579
0.3349956341802126,0.3869745910024018,0.21532076085873203,0.7822292056582244,0.09342801163838221,0.01224738968336958,2,1,2,0.863,0.061,0.579
0.3349956341802126,0.3869745910024018,0.21532076085873203,0.7822292056582244,0.09342801163838221,0.01224738968336958,2,3,1,0.978,0.037,0.48
0.3349956341802126,0.3869745910024018,0.21532076085873203,0.7822292056582244,0.09342801163838221,0.01224738968336958,2,3,2,0.985,0.035,0.444
0.3349956341802126,0.3869745910024018,0.21532076085873203,0.7822292056582244,0.09342801163838221,0.01224738968336958,3,1,1,0.837,0.541,0.059
0.3349956341802126,0.3869745910024018,0.21532076085873203,0.7822292056582244,0.09342801163838221,0.01224738968336958,3,1,2,0.824,0.527,0.08
0.3349956341802126,0.3869745910024018,0.21532076085873203,0.7822292056582244,0.09342801163838221,0.01224738968336958,3,3,1,0.92,0.504,0.008
0.3349956341802126,0.3869745910024018,0.21532076085873203,0.7822292056582244,0.09342801163838221,0.01224738968336958,3,3,2,0.941,0.486,0.003
0.13367433969669215,0.3890789763468581,0.2693525608366823,0.9537149360445063,0.2720376666681994,0.26977463147789593,2,1,1,0.463,0.074,0.644
0.13367433969669215,0.3890789763468581,0.2693525608366823,0.9537149360445063,0.2720376666681994,0.26977463147789593,2,1,2,0.593,0.031,0.562
0.13367433969669215,0.3890789763468581,0.2693525608366823,0.9537149360445063,0.2720376666681994,0.26977463147789593,2,3,1,0.701,0.037,0.403
0.13367433969669215,0.3890789763468581,0.2693525608366823,0.9537149360445063,0.2720376666681994,0.26977463147789593,2,3,2,0.855,0.001,0.309
0.13367433969669215,0.3890789763468581,0.2693525608366823,0.9537149360445063,0.2720376666681994,0.26977463147789593,3,1,1,0.37,0.547,0.176
0.13367433969669215,0.3890789763468581,0.2693525608366823,0.9537149360445063,0.2720376666681994,0.26977463147789593,3,1,2,0.552,0.338,0.134
0.13367433969669215,0.3890789763468581,0.2693525608366823,0.9537149360445063,0.2720376666681994,0.26977463147789593,3,3,1,0.615,0.329,0.052
0.13367433969669215,0.3890789763468581,0.2693525608366823,0.9537149360445063,0.2720376666681994,0.26977463147789593,3,3,2,0.815,0.131,0.038
